,body
897,"This is a very good synopsis of the gas crimes trials in California.  Please 
note comments of Assembly Republican John Campbell---perhaps the sole bright 
spot in the California Legislature...

Competing evidence clouds Calif. investigation

Prompted in part by the California Public Utilities Commission, the 
California Assembly
has been scrutinizing the role that interstate pipelines have played in the 
state,s current
energy crisis. In the efforts to find a smoking gun, legislators have leaned 
heavily on a
report prepared by The Brattle Group, a consultancy commissioned by utility 
Southern California
Edison to dig up evidence of market power abuse.

But the state,s biggest transporter of gas to California -- El Paso Natural 
Gas -- is not
ready to take the rap. The pipeline has commissioned its own study, which it 
recently presented
as evidence that it has not circumvented any laws or regulation.

As reported in both the trade press and national media, SoCal Ed and the CPUC 
are pointing
the finger of blame at El Paso for alleged manipulation of California border 
prices through
affiliate deals and capacity hoarding. And exhibit A in their case against El 
Paso is The Brattle
Group,s study of the California market.

Richard Zeiger, a spokesman for Assembly Member Darrell Steinberg, chairman 
of the
California Assembly Judiciary Committee, told Gas Daily that The Brattle 
Group,s market
study proved that the surge in gas prices at the California border was not 
caused by normal
market forces (GD 4/20). His remarks followed an oversight hearing during 
which Assembly
members questioned Dynegy and El Paso officials about their involvement in 
the California
market.

El Paso presented a different version of events to the Assembly. In a report 
presented to
legislators, a research group hired by El Paso concluded that a convergence 
of factors, not a
conspiracy, caused the price run-up.

Lukens Consulting Group, a Houston-based consultancy, was retained by El Paso 
to conduct
work on several fronts. In its study of the California market, Lukens 
concluded that the
increasing convergence of the gas and electricity businesses was one of the 
main culprits in the
California gas price imbroglio.

Assemblyman John Campbell, a Republican member of the oversight committee, 
said he
""didn,t see any smoking gun"" in either report.

""We had our committee hearing, and we certainly had a lot on the Brattle 
Study and a little
on the Lukens study. To some degree, I,m not sure that the California 
legislature is the best
place to adjudicate the differences between these two studies,"" Campbell 
said. ""I believe FERC
is looking at this situation "" and it would seem to me that that,s the 
appropriate place.""

Campbell said that the CPUC had been prodding the California legislature to 
give support
to its claims of market power abuse by pipelines. ""It,s being pushed 
basically by the Public
Utilities Commission here, which believes that there was collusion"" by 
pipeline companies to
push up gas prices in California, he said.

The CPUC, Campbell suggested, sought satisfaction before the California 
assembly when
it had failed on the federal level: ""There,s a concerted effort, not just on 
natural gas but on other
things here in California, for entities and organizations here to point the 
finger elsewhere for
the problems that we,re having in this state and I think you,re seeing some 
of that with the
public utilities commission.""

Whether either report wins over the public incensed by high natural gas 
prices is a different
matter entirely. In the meanwhile, the dueling California market studies seem 
to have taken
on a life of their own.

The Brattle Group Study, for instance, has become the center of a heavily 
litigated effort to
force FERC to compel the release of market data by California market 
participants. Following
on a request by SoCal Ed, which said it needed additional data to round out 
The Brattle Group
report, FERC Chief ALJ Curtis Wagner issued subpoenas to the other three 
major pipelines that
serve the state as well as to Sempra Energy Trading.

Several parties resisted FERC,s call for market information, saying the 
requested data
contained commercially sensitive information. FERC allowed the discovery 
process to move
forward but only after attaching strict data protection rules restricting 
access to evidence
(GD 4/23).

Critics of the pipeline industry have already suffered one setback in their 
case. The commission
recently dismissed the CPUC,s claim that El Paso rigged the auction of a 
large block of
pipeline capacity in favor of affiliate El Paso Merchant Energy. In 
addressing the California
Assembly, representatives of Dynegy said that FERC,s recent ruling on the 
California border
controversy obviated the need for more investigation.

The controversy, however, is far from over. FERC last month also ordered a 
hearing into
whether El Paso Natural Gas and its affiliates manipulated capacity to drive 
up the price of gas
delivered into California (GD 3/29). That hearing is likely to take place 
this summer. (RP00-
241, et al.) NH





	Rob Bradley
	04/25/2001 09:13 AM
		
		 To: Jeff Dasovich/NA/Enron@Enron
		 cc: Alan Comnes/PDX/ECT@ECT, James D Steffes/NA/Enron@Enron, Janel 
Guerrero/Corp/Enron@Enron, Jeff Dasovich/NA/Enron@Enron, Joe 
Hartsoe/Corp/Enron@Enron, Karen Denne/Corp/Enron@Enron, Leslie 
Lawner/NA/Enron@Enron, Paul Kaufman/PDX/ECT@ECT, Richard 
Shapiro/NA/Enron@Enron, Sandra McCubbin/NA/Enron@Enron, skean@enron.com, 
Susan J Mara/NA/Enron@Enron
		 Subject: Re: Some Background on California Gas Price Spikes--The Other Side 
of the Story

Here is the Q&A I will give to Ken on this topic, and I invite any 
improvements:

Question: ""What is your opinion about the study of the Brattle Group (Dr. 
Paul Carpenter) that market power exercised by El Paso and Dynegy exacerbated 
the natural gas price spike at the California border that contributed to the 
electricity price spike.""

Answer:  ""I always discount conspiracy theories when prices rise or fall and 
believe fundamental forces of supply and demand explain prices in this 
instance.  I will say, however, that the transmission grid must be more open 
and transparent to improve everyone's confidence in the economics behind 
price formation.  Long term contracting in the wholesale commodity market 
should also reduce speculation about price manipulation.""

- Rob





	Jeff Dasovich
	Sent by: Jeff Dasovich
	04/24/2001 06:57 PM
		 
		 To: Richard Shapiro/NA/Enron@Enron, skean@enron.com, James D 
Steffes/NA/Enron@Enron, Paul Kaufman/PDX/ECT@ECT, Leslie 
Lawner/NA/Enron@Enron, Joe Hartsoe/Corp/Enron@ENRON, Rob 
Bradley/Corp/Enron@ENRON, Janel Guerrero/Corp/Enron@Enron, Karen 
Denne/Corp/Enron@ENRON, Alan Comnes/PDX/ECT@ECT, Sandra 
McCubbin/NA/Enron@Enron, Susan J Mara/NA/Enron@ENRON
		 cc: 
		 Subject: Some Background on California Gas Price Spikes--The Other Side of 
the Story

Last week, I distributed a presentation that the Brattle Group gave before 
the California Inquisition (i.e., legislative gas oversight committee looking 
into the gas price spikes at the Cal border).  

The Brattle Group is a consulting firm that Edison has long used to beat up 
on SoCalGas (recall that Edison used to be a big gas customer when it owned 
power plants).  Edison ""arranged"" for the Brattle Group to be the star 
witness at the Cal Leg gas hearing.  Their job was to set up El Paso and 
Dynegy for the hit at hearings that took place the following day.  Their 
message was simple (and simplistic):

El Paso and Dynegy have market power.
They have used the market power to drive up basis and thus the price of gas 
at the border (to ""obscene"" levels).
That, in turn, has driven up electricity prices.

Ken Lay is giving a gas talk tomorrow, and Rob Bradley asked that I provide 
the alternative view to the Edison/Brattle rant, in the event that he gets 
any questions on the topic.  It's attached.  Apologies, it's quick and dirty, 
but it provides the basics.

Obviously no need for us to defend El Paso or Dynegy, but might be useful to 
offer a more rationale explanation than the one that the California 
Legislature is peddling.

Finally, we were also fingered somewhat as culprits at the hearing (the 
California PUC FERC lawyer claimed that ENA and TW colluded to drive up basis 
when ENA controlled a portion of  the capacity), but the overriding goal of 
the hearing was to go after EP and Dynegy.

Best,
Jeff






"
898,"---------------------- Forwarded by Matthew Lenhart/HOU/ECT on 04/17/2001 
01:56 PM ---------------------------


Stephanie Miller@ENRON
01/08/2001 09:40 AM
To: Matthew Lenhart/HOU/ECT@ECT
cc:  

Subject: Generation Plants Listing


---------------------- Forwarded by Stephanie Miller/Corp/Enron on 01/08/2001 
08:41 AM ---------------------------
   
	
	
	From:  Julie A Gomez @ ECT                           01/05/2001 04:53 PM
	

To: Elizabeth Shim/Corp/Enron@ENRON, Stephanie Miller/Corp/Enron@ENRON
cc:  

Subject: Generation Plants Listing

Here it is...



Julie  :-)



"
899,"Energy Insight News for Wednesday, November 28, 2001
The race is on for new coal-fired generation

The race is on! Power plant developers have responded aggressively to the
power crisis in the West and the potential for power shortages in the
Midwest and Northeast, according to a report, New Coal-Fired Generation: The
Race Is On, by Boulder, Colo.-based RDI Consulting.

Using data compiled by RDI, a data division of Platts, the report estimates
the U.S. will require 296,000 MW of capacity additions by 2015 to meet
growing demand and to replace older units likely to retire. This compares
with roughly 780,000 MW of installed capacity in the U.S. today. 

RDI also projects that almost 60% of the required capacity will be built by
the end of 2006 and, despite extreme volatility in natural gas prices, the
majority of this new capacity will be gas-fired-equaling nearly 170,000 MW.
Because of that fact, for developers looking to build coal-fired plants, the
race has turned into a marathon. 

The advantage of proposed coal-fired generation is the potential for low
dispatch costs. Hypothetical plants modeled by RDI in all areas of the
country show new coal-fired generation can dispatch well ahead of gas-fired
plants and somewhat ahead of most existing coal-fired plants. 

Disadvantages of new coal-fired generation are higher initial capital costs
and greater risk, which means that new coal-fired plants are susceptible to
depressed market prices that could result from overbuilding new capacity.
Developers will have two choices in the near term if coal plants are to
succeed: wait out the surge of capacity development and be prepared to enter
the market later in the decade when the excess capacity is absorbed; or
secure long term power sales agreements and capacity contracts that will
provide enough revenue to cover the high development costs of a new coal
plant. Read the entire story at http://www.energyinsight.com. 
Also, catch the latest news headlines on Energy Insight Executive, updated
twice daily.
///////////////////////////////////////////////
Market Brief    Tuesday, November 27            	
Stocks  Close   Change  % Change	
DJIA    9,872.60        (110.2) -1.10%	
DJ 15 Util.     288.43  1.2     0.42%	
NASDAQ  1,935.97        (5.26)  -0.27%	
S&P 500 1,149.50        (7.9)   -0.68%	
                        	
Market Vols     Close   Change  % Change	
AMEX (000)      173,339 36,795.0        26.95%	
NASDAQ (000)    2,134,187       411,096.0       23.86%	
NYSE (000)      1,301,649       213,273.0       19.60%	
                        	
Commodities     Close   Change  % Change	
Crude Oil (Jan) 19.52   0.73    3.89%	
Heating Oil (Dec)       0.5402  0.016   3.09%	
Nat. Gas (Henry)        2.61    (0.107) -3.94%	
Propane (Dec)   29.75   0.50    1.71%	
Palo Verde (Dec)        27.25   2.00    7.92%	
COB (Dec)       31.00   0.50    1.64%	
PJM (Dec)       26.00   (0.70)  -2.62%	
                        	
Dollar US $     Close   Change  % Change	
Australia $     1.913   (0.015) -0.78%	
Canada $        1.60    (0.005) -0.31%	
Germany Dmark   2.22    (0.004) -0.18%	
Euro    0.8833  0.003   0.36%	
Japan ?en     124.0   (0.100) -0.08%	
Mexico NP       9.26    0.080   0.87%	
UK Pound        0.7071  (0.0007)        -0.10%	
                        	
Foreign Indices Close   Change  % Change	
Arg MerVal      218.61  (5.26)  -2.35%	
Austr All Ord.  3,291.40        6.70    0.20%	
Braz Bovespa    13602.88        (156.65)        -1.14%	
Can TSE 300     7462.60 (3.80)  -0.05%	
Germany DAX     5059.57 (54.55) -1.07%	
HK HangSeng     11261.54        (130.42)        -1.14%	
Japan Nikkei 225        10948.89        (115.41)        -1.04%	
Mexico IPC      5860.44 102.92  1.79%	
UK FTSE 100     5,265.96        (36.54) -0.69%	
                        	
Source:  Yahoo! & TradingDay.com                        	
//////////////////////////////////////////////
Executive News
OPEC's Khelil requests meeting with Russia's Putin
OPEC President Chakib Khelil said Tuesday he had requested a meeting with
Russian President Vladimir Putin. ""We have asked as the OPEC presidency for
a meeting with the Russian President, Mr Putin, we have not yet had a
response,"" Khelil told reporters in Algiers. OPEC is currently lobbying
Russia to make a more significant contribution to a planned OPEC/non-OPEC
round of output cuts than the 50,000 barrels per day pledged by Moscow late
last week. OPEC agreed at its Nov. 14 meeting to reduce crude output by 1.5
million barrels per day, but only if non-OPEC producers contribute a further
500,000 barrels per day reduction. Mexico has said it is willing to cut by
100,000 barrels per day, while Norway said last week it would cut by
100,000-200,000 barrels per day, as long as other producers honor their cut
pledges.

Nordic to build power plant, ethanol facility in Ohio
Nordic Energy plans to develop the first new coal-fired baseload project in
Ohio in more than a decade, an 850-MW merchant plant in the northeast part
of the state, the company said Tuesday. The coal plant, which would utilize
integrated gasification combined cycle technology, would be a cogeneration
facility that also would produce steam to run an ethanol production plant
that affiliated Nordic Biofuels intends to build nearby. Nordic Energy will
initiate an anticipated 18-month permitting process for the coal plant early
next year. Commercial operation is expected in June 2006. The coal plant is
expected to cost about $1 billion, and the ethanol facility about $150
million. ""We decided this is the time to build our own plant and move
forward,"" said Joni Fixel, Nordic Energy director of power supply.

To subscribe to our Executive News Service, which is updated twice daily,
log on to http://www.energyinsight.com, or contact Platt's Direct Response
Team at 1-800-424-2908 (if outside the United States call 1-720-548-5700).
///////////////////////////////////////////////
"
900,"http://craigjames.rivals.com/default.asp?sid=562&p=2&stid=7979143
"
901,"Some of the questions we sent in our data requests about an hour and a  half ago were derived from protected material.  Please do not give them to  anyone who has not signed the non-disclosure statement in this proceeding.   My apologies for forgetting the note at the time I sent  them.
"
902,"

Regards,
Jo Ann Matson
Enron Corp
jo.ann.matson@enron.com
(713) 345-7237
"
903,"Do you have a phone number for Mark Powell, or does he go by another name?  I 
can not find him in the directory?





Debra Perlingiere
Enron North America Corp.
1400 Smith Street, EB 3885
Houston, Texas 77002
dperlin@enron.com
Phone 713-853-7658
Fax  713-646-3490
"
904,"There's a meeting with a cast of characters to discuss the Westinhouse 
warranty issues.  It is tomorrow (Thurs) at 1230.  Do you have any interest 
in sitting in?

Kay
---------------------- Forwarded by Kay Mann/Corp/Enron on 08/23/2000 01:06 
PM ---------------------------


John Normand@ENRON_DEVELOPMENT
08/23/2000 01:03 PM
To: Mitch Robinson@Enron, Mark Dobler/NA/Enron@Enron, Ross 
Newlin/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, John 
Schwartzenburg/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Scott 
Dieball/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Kay Mann@ENRON, Bob 
Greene/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Dennis 
Alexander/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Gavin 
Gaul/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Brian D 
Barto/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT
cc:  

Subject: Westinghouse/Gleason Meeting Agenda

The proposed agenda for tomorrow's meeting is as follow:

Low frequency sound issue
Megawatt limit @ 182 Mw
Use of evap cooler
Heat Rate deficiency
Late equipment deliveries 

We can also talk about Wheatland performance.

Let me know if there is anything else we need to add to the agenda.

Thanks,   John
"
905,"1. Status of Mainline Filter Separator Project.

Earl Chanley has indicated that the June 1 target date for in service is on 
schedule.  There will be 2 mainline separators for each mainline system.  
PG&E is also on schedule for June 5 & 7 pipeline tie ins to each bank of 
separators.  The only outstanding issue is an air permit for the 1200 gallon 
tank at the separator installation site.  This is a PG&E issue and will not 
create a delay of the in-service date.  All other permits and approvals, 
according to PG&E, are in place.

PG&E has stated that after operation of the separators, they will want to 
discuss maintenance issues with ET&S.

Post construction of the separators will result in 2-50 ft joints of 34 in. 
pipe.  PG&E will perform wipe tests on each piece to determine reuse and or 
disposal.  If the pieces test  to be regulated by state and federal, PG&E 
will consult their legal group to determine whether they will decon or 
dispose as a PCB regulated material.  If the decision is to decon, PG&E has 
indicated that they will seek another contractor other than Vector to reduce 
costs associated with cleaning the pipe.

2. Review Test Results of Ongoing Gas Sampling. 

Update since last sampling discussion in San Francisco.  Good news is that at 
MP 353 (kettleman C/S), latest sampling showed non detect.  The third round 
of sampling taken at this location is not available.  All other samples 
collected at suspected liquids locations areas showed PCB liquids results to 
be decreasing  toward Hinkley C/S.  Line 311 is a 12 in. line which travels 
north to Ridgecrest, Ca  also feeds  IMC Chemical Plant.  Previous testing 
showed non detect.  Most recent sample showed 22 ppm.   Second sample has 
been collected but results are not available.  Samples are proposed to be 
collected at the IMC Chemical Plant.  There is a potential for the IMC Plant 
to be PG&E's biggest single commercial customer and therefore, this site is 
considered to be a sensitive area relating to PCB's.

Kern River Station continues to show PCB concentrations  of 1-3 ppm.   The 
gas from this location feeds into a portion of the Southern California Gas 
Co.  system which is PCB free.

3. Discuss Future Sampling Process and Frequency. 

West end of the PG&E system has not been sampled.  The east end of the system 
has at least 2 rounds of sampling conducted.  Sampling frequency for these 
locations is once every two weeks.  When a sampling location is shown  to 
have liquids, it is resampled two weeks later and is included into the 
sampling program.  
Transwestern has requested to PG&E to increase the collection reservoirs 
under the meters and valves to allow greater removal liquids from the 
pipeline system.  At the present time a small nipple is inserted into the 
bottom of the valve and meter body  for the liquids collection.  By 
increasing the nipple size,  a greater collection container will be produced.

It was mutually agreed that until installation and operation of the two the 
separators, PG&E will continue to sample each location once every two weeks.

4. Review Criteria Used to Determine Need for Tap Filter/Separators.

Originally 29 locations were identified to receive the small filter 
separators.  These locations were considered Priority 1 sites.  The 
determination of a Priority 1 site is based upon the following criteria:  1) 
a location where liquids were collected twice and 2)  ppm concentration of 
the liquids collected was > 1.0 ppm.
Based upon these criteria, Ridgecrest and Bakersfield (Kern River Station) 
have been added to the list of Priority sites.  Flow through at the Kern 
River location is 300-500 mmscf/day.  Samples collected at this location have 
shown PCB's in the range of 1-4 ppm.  PG&E's agreement with SoCal at this 
location is <1.0 ppm PCB's in the liquid phase.   PG&E has indicated that 
there is some sensitivity at both of these locations due to the large volume 
of gas deliveries.

PG&E and Southwest Gas have been in discussions concerning 5 additional 
filter separators on the Southwest Gas system due to substantial customer 
load at these locations.  Southwest Gas feels it needs additional protection 
at these sites.  PG&E has stated that Southwest Gas is beginning to express 
additional concern for PCB's at their interconnect locations.

5. Review and Discuss List of Proposed Tap Filter/Separators.

 a. Siting, Design and Engineering

 b. Cost Estimates 

PG&E passed out a booklet pertaining to 9 small filter separator sites, plus 
an additional sheet for 16 sites with back-up to be produced in the next 
week. .  Four of these separators have been installed.  A total of 45 filter 
separators may be proposed for installation.  

The cost estimates for the additional small volume  F/S up to the 29 
indicated at the last meeting is 1.2 to 1.3 million.  The sampling costs have 
not been included in this number. Estimates are being reviewed on a per sites 
basis as PG&E presented.

One PG&E customer, a cement plant, has inquired about PG&E deconning portions 
of their plant that has PCB's.  PG&E is in discussions with the cement 
company.   PG&E has informed the cement plant that it will evaluate the 
success of the filter separators to be installed on the line feeding the 
cement plant prior to committing to any action.  If the deconning occurs, it 
will be a 2001 project.

6. Ongoing Consideration of Additional Customer Protection.

Compressor Oil Control.  The majority of liquids collected at strategic 
sampling locations is compressor oils.  Transwestern has requested access to 
the PG&E C/S to study lube oil systems.  There are 22 compressors at the 
Topock and Hinkley C/S's.  Transwestern will conduct a  study of technologies 
to assist in reducing oil from entering the pipeline system.  Earl will 
coordinate site visits with Glen Riddle.

7. Other Issues or Concerns.

Earl requested additional information on invoices submitted after January, 
2000.  rod will send back up and support data of existing invoices sent to 
Transwestern.  

PG&E is considering increasing gas receipts from Transwestern to 250-300 
mmscf/day cap by May 15.  Over time PG&E will look into their C/S 
configurations to handle the increased gas flows to 450 mm scf/day.  

8. Next Steps.

The next meeting was proposed in 45 days.  This time period will allow 
inspection and operation of the mainline filter separators and collection   
additional sampling data at new and suspected sampling sites.  The location 
of the next meeting was tentatively scheduled for Flagstaff AZ on July 13 as 
some of the PG&E meeting attendees will be in Flagstaff during that week on 
other business.  
"
906,"We need to ensure that the EDI rules are final and allow Enron to switch billing options early next year (see #2 below).  Let me know if there are any issues.

Jim

 -----Original Message-----
From: 	Ogenyi, Gloria  
Sent:	Tuesday, November 06, 2001 10:54 AM
To:	Gahn, Scott; Dietrich, Janet
Cc:	Bertasi, Ron; Kingerski, Harry; Steffes, James D.
Subject:	RE: Enron's Security Review

The deposit will be in the form of a cash deposit, wired into ConEd's Chase Manhattan Bank today. I am working with ConEd to agree on the applicable interest rate.

We can dispute ConEd's data. However, I do not think this is a good time to do so because:
1. Unlike our calc, the ConEd calc is based on the summer peak for the customers (even when we factor that in, I think that the volumes used in ConEd's calc may still be too high - but I intend to raise that issue at a later time)
2. The number of customers EES has contracted as at today (6000 - unknown to ConEd), and who will soon be enrolled with ConEd makes any argument unecessary. Per the UBP rules, if the volumes increase by 10%, ConEd is entitled to request an increase in the deposit amount. Whenever they come back to us for more, we will dispute their data and hopefully reduce the dollar amount and/or at least buy ourselves more time. More time is important, as the EDI rules in NY will be complete first quater of next year. At that time, EES will change its billing option, the security requirement will be unecessary, and our deposit will be returned to us with interest.
3. I had negotiated with ConEd to suspend their billing cycle on our customers to give us time to work through this issue. This has revenue implications for them. Disputing their numbers will appear as a gimmick, would generate bad will, and will frustrate our future negotiations/relationship with them 

I will provide an update later in the day.

Thanks,
Gloria

 -----Original Message-----
From: 	Gahn, Scott  
Sent:	Monday, November 05, 2001 7:50 PM
To:	Dietrich, Janet
Cc:	Ogenyi, Gloria; Bertasi, Ron
Subject:	RE: Enron's Security Review

I was told Bradford would, ""release the $1 million tomorrow.""  I don't know what form.  I will find out.  

Also, regarding the usage - I do not know the answer.  Our numbers are systematically scraped directly off the ConEd website by account - I do not believe that any errors in this process could be consistently that low.  We pull actual data and site profile normalizes and calendarizes the data - Jeff probably is using the normalized info.  ConEd is likely using a design peak to maximize the deposit and ensure that even if we fail under design conditions they have sufficient security.  We could potentially use our data (their web data) to dispute their own calculation.

Gloria - can we dispute ConEd's calc based on the data we took from the website?  How tight is the approved deposit provision?



 -----Original Message-----
From: 	Dietrich, Janet  
Sent:	Monday, November 05, 2001 4:20 PM
To:	Gahn, Scott
Subject:	FW: Enron's Security Review


FYI. What form of security did we post the $1million? How does this amount change over time? Why do you think Con-Ed's consumption estimates are so different than ours?
 -----Original Message-----
From: 	Herndon, Rogers  
Sent:	Monday, November 05, 2001 12:35 PM
To:	Merola, Jeff
Cc:	Presto, Kevin M.; Misra, Narsimha; Padron, Juan; Dietrich, Janet
Subject:	FW: Enron's Security Review


Jeff -

Excellent analysis - thanks.

RH
 -----Original Message-----
From: 	Merola, Jeff  
Sent:	Monday, November 05, 2001 11:47 AM
To:	Ogenyi, Gloria
Cc:	Kingerski, Harry; Burrows, John; Herndon, Rogers
Subject:	RE: Enron's Security Review

Gloria,

The analysis performed by ConEd is based only on mass market customers with October start dates.  Looking at this set of customers, ConEd has estimated significantly higher consumption for our customers than Origination has calculated.  This is shown below, with the credit requirement calculated for 45 days during the summer peak.

			ConEd Calculation				Calculation using Origination Values
# of accounts		1,395						1,395
Peak Month MWh	8,993						5,694
Peak Month $		$539,616					$341,653

Electric 45 Day $	$809,424					$512,479
Nat Gas 45 Day $	$183,195					$183,195
Total 45 Day $		$992,620					$695,674       Difference $296,946

Extrapolating these figures out for all mass market customers signed as of today (6,000) with start dates between October and January, the credit requirements would be as follows:

			ConEd Calculation Extrapolated		Calculation using Origination Values
# of accounts		6,000						6,000
Peak Month MWh	38,681						29,232
Peak Month $		$2,320,930					$1,753,920

Electric 45 Day $	$3,481,395					$2,630,880
Nat Gas 45 Day $	$   787,936					$   787,936
Total 45 Day $		$4,269,331					$3,226,321    Difference $1,023,010

Using either calculation shows that are security requirement will very quickly be much higher than the $1 million currently being requested.  These values do not include additional mass market origination or the switching of existing financially served customers to physical service.  The conversion of existing financially served customers to physical service could easily add another $2 million.  

RAC needs to be aware that the $1 million will be a temporary fix and that the value will be much higher in the near future.

Thanks,
Jeff 



	



 -----Original Message-----
From: 	Ogenyi, Gloria  
Sent:	Friday, November 02, 2001 3:22 PM
To:	Merola, Jeff
Cc:	Kingerski, Harry
Subject:	FW: Enron's Security Review

Per our discussion

 -----Original Message-----
From: 	""Lynch, Rebecca L."" <LYNCHR@coned.com>@ENRON  
Sent:	Friday, November 02, 2001 1:12 PM
To:	Ogenyi, Gloria
Cc:	Lynch, Rebecca L.; Krieger, Hollis J.
Subject:	FW: Enron's Security Review

Gloria,
As requested.  The method by which the $1 million security requirement for
agency billing on Enron Energy Services' current population is explained
below.  This is a consistent approach at calculating security requirements
for agency billing for ESCOs participating in our service territory.  If you
have questions, please let me know.  Thanks.

Rebecca L. Lynch
Retail Choice Operations
phone...........212 780 6701
fax.................646 654 3062

 <<...OLE_Obj...>>

>  -----Original Message-----
> From:
>  Sent:	Friday, October 05, 2001 11:26 AM
> To:	Lynch, Rebecca L.
> Cc:	Krieger, Hollis J.;
> Subject:	Enron's Security Review
>
> )Reviewed Enron's future total Retail Choice agency population there 1,395
> electric customers with 560 companion gas accounts. looked at what is
> active and pending in RAIS, obtained the billing histories from general
> population on CSS.
> 2) Broke down the last 12 months electric and gas billing by calendar
> month.
> 3) Reviewed the number of customer's bill verses electric and gas usage to
> determine the aggregated peak month. In this case August 2001. This used
> both historical data and a common sense approach as to the number of bills
> issued in the period along with the amount of the usage.
>  <<MONTHLY_TOTALS.xls>>
> ) Reviewed each bill entry for the month of August 2001 for each account.
> If an account was billed twice, incorporated the last billing entry of the
> month in the survey.
> 5)For electric - by service class, summed up the number of days in the
> billing period for each billed and summed the usage. Divided the total
> usage by the number of days it represents.  Received an average daily
> usage per service class.
> 6) Where demand was necessary, average the demand by service class for the
> surveyed population. This ESCO did not have any Large Time Of Day  or
> Medium Time Of Day customers, however there is an accessible  history for
> components necessary to calculate these bills so averages could be
> developed.
> 7) Multiplied the daily usage for each service class by 30 days. Did one
> bill calculation for each of the service classes at the Retail Choice
> rate,  using the period  8/1-8/31 .
> 8) Divide each bill calculation by 30 days to determine the daily dollar
> amount per customer. Multiplied this amount by the number of actual
> customers in Enron's population to determine a daily dollar amount for all
> the customers in the respective service classes.
> 9) Summed all the service classes daily dollars amount to determine one
> day's electric bill for the actual electric population. Multiplied this
> amount by 45 days for a total of $809,424.35
> 10) For gas - reviewed the August bills and determined the number of
> accounts in this surveyed month verses the actual population.
> 11) By service class, summed the number of days in each bill and summed
> the dollar amounts of these bill. Divided the total dollar amount by the
> total number of days to determine a daily dollar amount.
> 12) Multiply the actual number of customers by the daily dollar amount to
> determine the total daily dollar amount in each respective service class.
> 13) Added the total daily dollar amount of each of the services class to
> determine the total daily dollar amount for the gas service.
> 14) Multiplied the total daily dollar amount for gas service by 45 days
> for an amount of $183,195.16
> 15) Added electric and gas 45 day requested for a grand total of
> $992,619.51
>  <<SEC_REV_ENRON.xls>>

 - MONTHLY_TOTALS.xls << File: MONTHLY_TOTALS.xls >> 
 - SEC_REV_ENRON.xls << File: SEC_REV_ENRON.xls >> 
"
907,"
THESE ARE PRELIMINARY NUMBERS...WE ARE WORKING ON GETTING THE FINAL NUMBERS INCLUDED IN THE CLAIM:
EPMI owes PG&E   ($82,256,219.21)
PG&E owes EPMI  $24,138,010.72
PG&E owes ECC    $24,209,249.36
We believe these three can be netted so no reserve taken.

PG&E owes ENA $74,190,183.48 - reserved $24MM
ISO owes EPMI $46MM - reserved $18.5MM
PX owes EPMI $8MM - reserved $3.5MM

"
908,"
FYI
 -----Original Message-----
From: 	Wallace, Stephen  
Sent:	Tuesday, November 13, 2001 11:27 AM
To:	Derrick Jr., James; Walls Jr., Rob
Cc:	Harris, Stephanie J 
Subject:	FW: Reliance's Appeal

For your information.

Stephen.

Stephen Wallace
Enron Global Exploration & Production Inc.
Suite 3809, 3 Allen Center
333 Clay Street
Houston  TX  77002  U.S.A.
Phone         713.646.7211
Fax             713.646.8519
Cell ph.       713.503.3946

 -----Original Message-----
From: 	Wallace, Stephen  
Sent:	Tuesday, November 13, 2001 11:25 AM
To:	Sherrick, Jeffrey; Stewart, Mike; Morse, Larry; Phillips, Rick; Sattuluri, Radhakrishna; Smalling, Michael J.
Subject:	Reliance's Appeal

On Thursday November 9, Judge Richard Aikens of the High Court in London heard oral arguments from the parties' counsel as to whether he should grant Reliance's application to appeal certain points decided by the arbitrators in the partial awards rendered in the case of Enron Oil & Gas India Ltd. vs. Reliance and ONGC.

On Friday November 10, the judge issued a letter denying Reliance's application, with a statement to the effect that he would issue a formal order with reasons at a later date.

The judge has now given Reliance (and ONGC) a deadline of November 19 to submit to him (if they so choose) a justification as to whether he should allow them to appeal his decision to the English Court of Appeal.

By copy of this note I request Mike Smalling to forward to Larry, Rick, and Radha a copy of the judge's letter of November 10.

Stephen.

Stephen Wallace
Enron Global Exploration & Production Inc.
Suite 3809, 3 Allen Center
333 Clay Street
Houston  TX  77002  U.S.A.
Phone         713.646.7211
Fax             713.646.8519
Cell ph.       713.503.3946
"
909,"Jeff and  Steve
?
As you requested, I have  prepared a list of my preferred public policy 
contacts?for  California.? It is composed of professionals from an array of 
public,  private and non-profit backgrounds.? I have worked in some capacity  
with?each of these people?and most I know quite well.?  
?
Please call me for further  background.
?
Kevin
213-926-2626
?
Attachment
 - Kevin Scott -  Preferred Contacts - 6-20-01.doc
"
